id,wip,investissement,satisfaction
0,0,0,0.66640735
1,0,0,0.666446
2,0,0,0.66663116
3,0,0,0.66639423
4,0,0,0.66610396
5,0,0,0.6662606
6,0,0,0.66621333
7,0,0,0.6664417
8,0,0,0.66620874
9,0,0,0.6664398
10,0,0,0.66667527
11,0,0,0.6664327
12,0,0,0.66674626
13,0,0,0.6667771
14,0,0,0.6663418
15,0,0,0.6660103
16,0,0,0.67238027
17,0,0,0.6726546
18,0,0,0.6725514
19,0,0,0.6727698
20,0,0,0.67271507
21,0,0,0.67267174
22,0,0,0.6727748
23,0,0,0.6726799
24,0,0,0.6725035
25,0,0,0.67257285
26,0,0,0.672761
27,0,0,0.67254794
28,0,0,0.681179
29,0,0,0.6810457
30,0,0,0.68121696
31,0,0,0.6810812
32,0,0,0.6811809
33,0,0,0.6811223
34,0,0,0.68104446
35,0,0,0.68099606
36,0,0,0.6810963
37,0,0,0.6809724
38,0,0,0.6808329
39,0,0,0.6806631
40,0,0,0.68128705
41,0,0,0.6810089
42,0,0,0.6810851
43,0,0,0.6810988
44,0,0,0.6981221
45,0,0,0.69802624
46,0,0,0.6982287
47,0,0,0.6980825
48,0,0,0.69786775
49,0,0,0.69831693
50,0,0,0.6980086
51,0,0,0.6979839
52,0,0,0.6979637
53,0,0,0.6981669
54,0,0,0.69800174
55,0,0,0.69789857
56,0,0,0.6979822
57,0,0,0.69794714
58,0,0,0.69175905
59,0,0,0.6917625
60,0,0,0.6920977
61,0,0,0.6916114
62,0,0,0.6920684
63,0,0,0.6920617
64,0,0,0.6918667
65,0,0,0.69184273
66,0,0,0.69180727
67,0,0,0.691996
68,0,0,0.6917712
69,0,0,0.69170284
70,0,0,0.69190454
71,0,0,0.69181764
72,0,0,0.69178075
73,0,0,0.6915864
74,0,0,0.692049
75,0,0,0.69169337
76,0,0,0.6920844
77,0,0,0.6920584
78,0,0,0.69201404
79,0,0,0.48271698
80,0,0,0.5922842
81,0,0,0.8442539
82,0,0,0.84864897
83,0,0,0.8545929
84,0,0,0.85550857
85,0,0,0.850055
86,0,0,0.316984
87,0,0,0.82326674
88,0,0,0.7799119
89,0,0,0.85264134
90,0,0,0.8549507
91,0,0,0.8540754
92,0,0,0.813442
93,0,0,0.8416211
94,0,0,0.6673711
95,0,0,0.6669234
96,0,0,0.66742414
97,0,0,0.6673413
98,0,0,0.66760874
99,0,0,0.6673217
100,0,0,0.6676898
101,0,0,0.66733754
102,0,0,0.66717374
103,0,0,0.6672711
104,0,0,0.66695076
105,0,0,0.66741085
106,0,0,0.66739833
107,0,0,0.667407
108,0,0,0.6702532
109,0,0,0.6703318
110,0,0,0.6701349
111,0,0,0.67027634
112,0,0,0.670303
113,0,0,0.67045915
114,0,0,0.67015356
115,0,0,0.670209
116,0,0,0.6700361
117,0,0,0.67022026
118,0,0,0.6704222
119,0,0,0.67006254
120,0,0,0.67052597
121,0,0,0.6702807
