id,wip,investissement,satisfaction
0,0,0,0.33359605
1,0,0,0.54367775
2,0,0,0.49833834
3,0,0,0.7736613
4,0,0,0.74202144
5,0,0,0.9008552
6,0,0,0.3290651
7,0,0,0.70332617
8,0,0,0.8413699
9,0,0,0.32483292
10,0,0,0.7370821
11,0,0,0.77258897
12,0,0,0.20174336
13,0,0,0.5902126
14,0,0,0.6755264
15,0,0,0.86454356
16,0,0,0.8764558
17,0,0,0.52839136
18,0,0,0.7212254
19,0,0,0.4917583
20,0,0,0.81806314
21,0,0,0.5276592
22,0,0,0.5365612
23,0,0,0.6772942
24,0,0,0.8176013
25,0,0,0.5840529
26,0,0,0.79421693
27,0,0,0.5763433
28,0,0,0.75653386
29,0,0,0.66540265
30,0,0,0.5684939
31,0,0,0.857501
32,0,0,0.8438465
33,0,0,0.670922
34,0,0,0.88038564
35,0,0,0.628429
36,0,0,0.8618647
37,0,0,0.91052103
38,0,0,0.38964126
39,0,0,0.28113464
40,0,0,0.82599366
41,0,0,0.6290474
42,0,0,0.855698
43,0,0,0.40946755
44,0,0,0.8872949
45,0,0,0.801606
46,0,0,0.9384786
47,0,0,0.8994659
48,0,0,0.34685117
49,0,0,0.83249205
50,0,0,0.70231164
51,0,0,0.92028594
52,0,0,0.9002255
53,0,0,0.892986
54,0,0,0.74482006
55,0,0,0.22900987
56,0,0,0.7736761
57,0,0,0.8345779
58,0,0,0.7716308
59,0,0,0.7494929
60,0,0,0.81919426
61,0,0,0.21379864
62,0,0,0.93925667
63,0,0,0.94122165
64,0,0,0.7057671
65,0,0,0.5974032
66,0,0,0.51465386
67,0,0,0.6509459
68,0,0,0.77892125
69,0,0,0.88418317
70,0,0,0.71906495
71,0,0,0.6921133
72,0,0,0.73279536
73,0,0,0.776638
74,0,0,0.82044995
75,0,0,0.7806228
76,0,0,0.9361466
77,0,0,0.8094676
78,0,0,0.6025771
79,0,0,0.34868604
80,0,0,0.39031583
81,0,0,0.8879458
82,0,0,0.85038275
83,0,0,0.9271926
84,0,0,0.63352734
85,0,0,0.93048465
86,0,0,0.24488923
87,0,0,0.6923359
88,0,0,0.75453216
89,0,0,0.80132365
90,0,0,0.7821813
91,0,0,0.6714875
92,0,0,0.9157364
93,0,0,0.8955767
94,0,0,0.6469802
95,0,0,0.23306587
96,0,0,0.9149933
97,0,0,0.75593793
98,0,0,0.48032802
99,0,0,0.8560058
100,0,0,0.5864302
101,0,0,0.7805158
102,0,0,0.33600497
103,0,0,0.9038551
104,0,0,0.78085196
105,0,0,0.9062333
106,0,0,0.9015927
107,0,0,0.62991923
108,0,0,0.7724296
109,0,0,0.24422997
110,0,0,0.92713475
111,0,0,0.7607531
112,0,0,0.92984074
113,0,0,0.90338963
114,0,0,0.7726182
115,0,0,0.3596194
116,0,0,0.7142239
117,0,0,0.5595013
118,0,0,0.89631015
119,0,0,0.70338464
120,0,0,0.3443765
121,0,0,0.87188447
122,0,0,0.58851415
123,0,0,0.6059163
124,0,0,0.66819715
125,0,0,0.8277544
126,0,0,0.8383309
127,0,0,0.74120516
128,0,0,0.85928804
129,0,0,0.8292031
130,0,0,0.5797632
131,0,0,0.33408037
132,0,0,0.31160247
133,0,0,0.84179324
134,0,0,0.72781026
135,0,0,0.21956527
136,0,0,0.7829649
137,0,0,0.7879809
138,0,0,0.24503446
139,0,0,0.88496053
140,0,0,0.42873842
141,0,0,0.23796755
142,0,0,0.71630734
143,0,0,0.23732555
144,0,0,0.44608104
145,0,0,0.7680164
146,0,0,0.925446
147,0,0,0.91261405
148,0,0,0.24252528
149,0,0,0.89159036
150,0,0,0.9123304
151,0,0,0.24008256
152,0,0,0.333273
153,0,0,0.91220045
154,0,0,0.23044667
155,0,0,0.21973419
156,0,0,0.58492
157,0,0,0.34494638
158,0,0,0.9476603
159,0,0,0.2217362
160,0,0,0.41825655
161,0,0,0.9125508
