id,wip,investissement,satisfaction
0,0,0,0.34698284
1,0,0,0.5378546
2,0,0,0.5441748
3,0,0,0.79340726
4,0,0,0.76415
5,0,0,0.94088125
6,0,0,0.3517058
7,0,0,0.71090287
8,0,0,0.7957462
9,0,0,0.35067052
10,0,0,0.7659073
11,0,0,0.7621677
12,0,0,0.20652753
13,0,0,0.63613355
14,0,0,0.6717057
15,0,0,0.8255783
16,0,0,0.90857047
17,0,0,0.5688704
18,0,0,0.73721534
19,0,0,0.5007322
20,0,0,0.7374263
21,0,0,0.5367165
22,0,0,0.5851232
23,0,0,0.7230335
24,0,0,0.80024016
25,0,0,0.5790189
26,0,0,0.67583704
27,0,0,0.5761082
28,0,0,0.7753663
29,0,0,0.67730546
30,0,0,0.5929763
31,0,0,0.85945237
32,0,0,0.8421205
33,0,0,0.7059678
34,0,0,0.8900108
35,0,0,0.62640345
36,0,0,0.8830217
37,0,0,0.918094
38,0,0,0.41955417
39,0,0,0.2890191
40,0,0,0.81477284
41,0,0,0.6765621
42,0,0,0.83603346
43,0,0,0.41280925
44,0,0,0.9274106
45,0,0,0.82353365
46,0,0,0.9503404
47,0,0,0.9268862
48,0,0,0.37255463
49,0,0,0.8050627
50,0,0,0.6984842
51,0,0,0.9380621
52,0,0,0.91838086
53,0,0,0.92501885
54,0,0,0.7261389
55,0,0,0.22389346
56,0,0,0.79294485
57,0,0,0.85386527
58,0,0,0.76180696
59,0,0,0.7579863
60,0,0,0.7949225
61,0,0,0.22157168
62,0,0,0.9362048
63,0,0,0.9458426
64,0,0,0.7131397
65,0,0,0.57660097
66,0,0,0.5197177
67,0,0,0.62780845
68,0,0,0.7995762
69,0,0,0.89511746
70,0,0,0.72560996
71,0,0,0.6704894
72,0,0,0.7517382
73,0,0,0.78769445
74,0,0,0.8378746
75,0,0,0.7679702
76,0,0,0.94220775
77,0,0,0.8435304
78,0,0,0.5972301
79,0,0,0.32642475
80,0,0,0.39459836
81,0,0,0.88845205
82,0,0,0.85986376
83,0,0,0.9371214
84,0,0,0.6751605
85,0,0,0.9130256
86,0,0,0.26854324
87,0,0,0.71131414
88,0,0,0.7653615
89,0,0,0.82064855
90,0,0,0.7947233
91,0,0,0.685652
92,0,0,0.9089243
93,0,0,0.86923945
94,0,0,0.64819604
95,0,0,0.22424698
96,0,0,0.9139009
97,0,0,0.7473051
98,0,0,0.518119
99,0,0,0.85077006
100,0,0,0.61250055
101,0,0,0.8065164
102,0,0,0.3575764
103,0,0,0.899466
104,0,0,0.74233246
105,0,0,0.9014215
106,0,0,0.8778115
107,0,0,0.6792081
108,0,0,0.7971393
109,0,0,0.2746085
110,0,0,0.9195713
111,0,0,0.76257086
112,0,0,0.92121404
113,0,0,0.9033741
114,0,0,0.80397433
115,0,0,0.3742944
116,0,0,0.6947148
117,0,0,0.5583047
118,0,0,0.88564205
119,0,0,0.68981856
120,0,0,0.36518195
121,0,0,0.87897426
122,0,0,0.58819485
123,0,0,0.6439035
124,0,0,0.70502156
125,0,0,0.8258965
126,0,0,0.84147066
127,0,0,0.75469285
128,0,0,0.84427893
129,0,0,0.7856276
130,0,0,0.5749351
131,0,0,0.37020496
132,0,0,0.3452933
133,0,0,0.85509264
134,0,0,0.7512527
135,0,0,0.22353262
136,0,0,0.80285954
137,0,0,0.79923016
138,0,0,0.2357691
139,0,0,0.8674624
140,0,0,0.45924354
141,0,0,0.24488944
142,0,0,0.7022816
143,0,0,0.24010408
144,0,0,0.513333
145,0,0,0.7356777
146,0,0,0.9325022
147,0,0,0.9232099
148,0,0,0.23967552
149,0,0,0.90531147
150,0,0,0.9170244
151,0,0,0.25497505
152,0,0,0.34992862
153,0,0,0.8954437
154,0,0,0.2348845
155,0,0,0.22892445
156,0,0,0.61246216
157,0,0,0.36574465
158,0,0,0.94388855
159,0,0,0.22627419
160,0,0,0.43854222
161,0,0,0.92038196
162,0,0,0.9037006
163,0,0,0.6396668
164,0,0,0.6248497
165,0,0,0.7859032
166,0,0,0.7327436
167,0,0,0.9512685
168,0,0,0.7036532
169,0,0,0.3885372
170,0,0,0.5784519
171,0,0,0.90879124
172,0,0,0.7290741
173,0,0,0.8931459
174,0,0,0.3548131
175,0,0,0.2627539
176,0,0,0.2461415
177,0,0,0.78639984
178,0,0,0.93017197
179,0,0,0.95330524
180,0,0,0.8677488
181,0,0,0.24747902
182,0,0,0.7247197
183,0,0,0.8369922
184,0,0,0.72516453
185,0,0,0.69652295
