id,wip,investissement,satisfaction
0,0,0,0.34740523
1,0,0,0.35423213
2,0,0,0.5880626
3,0,0,0.79512864
4,0,0,0.7550394
5,0,0,0.77640194
6,0,0,0.36635995
7,0,0,0.781654
8,0,0,0.77661574
9,0,0,0.40109795
10,0,0,0.77486557
11,0,0,0.7277975
12,0,0,0.22440448
13,0,0,0.58152014
14,0,0,0.59969485
15,0,0,0.7953195
16,0,0,0.8524244
17,0,0,0.57520676
18,0,0,0.7005367
19,0,0,0.60595953
20,0,0,0.7702759
21,0,0,0.48257625
22,0,0,0.62227255
23,0,0,0.68442035
24,0,0,0.8016536
25,0,0,0.58507776
26,0,0,0.7656611
27,0,0,0.51863587
28,0,0,0.7924621
29,0,0,0.69650793
30,0,0,0.62224984
31,0,0,0.78148705
32,0,0,0.82178783
33,0,0,0.6781705
34,0,0,0.85264564
35,0,0,0.6788896
36,0,0,0.84537375
37,0,0,0.91670656
38,0,0,0.4819157
39,0,0,0.29661566
40,0,0,0.7955791
41,0,0,0.65905166
42,0,0,0.788707
43,0,0,0.44964007
44,0,0,0.8765962
45,0,0,0.83390164
46,0,0,0.92632866
47,0,0,0.8573608
48,0,0,0.4058359
49,0,0,0.8274415
50,0,0,0.7619248
51,0,0,0.86532843
52,0,0,0.8521475
53,0,0,0.8017764
54,0,0,0.7756197
55,0,0,0.25569788
56,0,0,0.7904121
57,0,0,0.83660513
58,0,0,0.7694909
59,0,0,0.68700707
60,0,0,0.8216144
61,0,0,0.21425475
62,0,0,0.88751096
63,0,0,0.90478283
64,0,0,0.67952627
65,0,0,0.5870182
66,0,0,0.53593826
67,0,0,0.58127016
68,0,0,0.8109865
69,0,0,0.8636834
70,0,0,0.732991
71,0,0,0.74608546
72,0,0,0.7342116
73,0,0,0.79799
74,0,0,0.74418765
75,0,0,0.7886305
76,0,0,0.9212784
77,0,0,0.79937845
78,0,0,0.6672136
79,0,0,0.37890774
80,0,0,0.38226375
81,0,0,0.85943913
82,0,0,0.86383075
83,0,0,0.9121058
84,0,0,0.68494356
85,0,0,0.8880852
86,0,0,0.25494155
87,0,0,0.71129656
88,0,0,0.7152458
89,0,0,0.7831382
90,0,0,0.7765727
91,0,0,0.654481
92,0,0,0.91389763
93,0,0,0.85696393
94,0,0,0.6841717
95,0,0,0.22976087
96,0,0,0.872539
97,0,0,0.7421171
98,0,0,0.49879164
99,0,0,0.8081744
100,0,0,0.5688465
101,0,0,0.7783994
102,0,0,0.38790673
103,0,0,0.8525847
104,0,0,0.7571723
105,0,0,0.88480085
106,0,0,0.82453763
107,0,0,0.7104362
108,0,0,0.7734696
109,0,0,0.27773455
110,0,0,0.89431864
111,0,0,0.7477232
112,0,0,0.8821101
113,0,0,0.8746052
114,0,0,0.80111337
115,0,0,0.32929602
116,0,0,0.6743668
117,0,0,0.5638006
118,0,0,0.8899901
119,0,0,0.6616685
120,0,0,0.36757237
121,0,0,0.88434136
122,0,0,0.6066587
123,0,0,0.625041
124,0,0,0.70821285
125,0,0,0.77845126
126,0,0,0.8038205
127,0,0,0.8203092
128,0,0,0.8822034
129,0,0,0.7692303
130,0,0,0.6092976
131,0,0,0.34038928
132,0,0,0.35769755
133,0,0,0.8673265
134,0,0,0.72570485
135,0,0,0.24252407
136,0,0,0.79574347
137,0,0,0.7823913
138,0,0,0.27038196
139,0,0,0.88006383
140,0,0,0.41926914
141,0,0,0.2549259
142,0,0,0.7072734
143,0,0,0.25676188
144,0,0,0.47124475
145,0,0,0.75114805
146,0,0,0.90059495
147,0,0,0.85876936
148,0,0,0.23125246
149,0,0,0.8779659
150,0,0,0.8090203
151,0,0,0.25446615
