id,wip,investissement,satisfaction
0,0,0,0.37295502
1,0,0,0.39190194
2,0,0,0.57716846
3,0,0,0.79562604
4,0,0,0.78048927
5,0,0,0.79805225
6,0,0,0.39674196
7,0,0,0.78234863
8,0,0,0.77821416
9,0,0,0.38309819
10,0,0,0.7214226
11,0,0,0.7998703
12,0,0,0.25289178
13,0,0,0.560299
14,0,0,0.59451175
15,0,0,0.7965702
16,0,0,0.8409207
17,0,0,0.5667636
18,0,0,0.7498289
19,0,0,0.5914685
20,0,0,0.73266155
21,0,0,0.49031138
22,0,0,0.5889142
23,0,0,0.6610619
24,0,0,0.7854562
25,0,0,0.58966964
26,0,0,0.73832
27,0,0,0.5129142
28,0,0,0.7754721
29,0,0,0.7021653
30,0,0,0.65019107
31,0,0,0.7919936
32,0,0,0.7938348
33,0,0,0.7125949
34,0,0,0.89361256
35,0,0,0.6230808
36,0,0,0.8577633
37,0,0,0.9048792
38,0,0,0.5081841
39,0,0,0.2605403
40,0,0,0.8388848
41,0,0,0.6820538
42,0,0,0.7842989
43,0,0,0.43723983
44,0,0,0.89152485
45,0,0,0.8443652
46,0,0,0.9619016
47,0,0,0.88064134
48,0,0,0.41028348
49,0,0,0.842898
50,0,0,0.7515977
51,0,0,0.8691978
52,0,0,0.8488994
53,0,0,0.8155831
54,0,0,0.7688086
55,0,0,0.24935168
56,0,0,0.7746905
57,0,0,0.83396363
58,0,0,0.79307944
59,0,0,0.70693207
60,0,0,0.8298842
61,0,0,0.22968294
62,0,0,0.9091851
63,0,0,0.91985124
64,0,0,0.6559598
65,0,0,0.5604107
66,0,0,0.49031776
67,0,0,0.62513417
68,0,0,0.8189893
69,0,0,0.8949178
70,0,0,0.73922443
71,0,0,0.7290919
72,0,0,0.72444284
73,0,0,0.7832907
74,0,0,0.776991
75,0,0,0.7472579
76,0,0,0.9330776
77,0,0,0.8206055
78,0,0,0.6560566
79,0,0,0.31511033
80,0,0,0.38204274
81,0,0,0.8807072
82,0,0,0.86324066
83,0,0,0.92587787
84,0,0,0.6954663
85,0,0,0.87999666
86,0,0,0.28774354
87,0,0,0.6903665
88,0,0,0.68366486
89,0,0,0.7945224
90,0,0,0.6948396
91,0,0,0.6799297
92,0,0,0.89728785
93,0,0,0.8431196
94,0,0,0.68067825
95,0,0,0.20554201
96,0,0,0.88511264
97,0,0,0.7732072
98,0,0,0.47166833
99,0,0,0.8177016
100,0,0,0.5859731
101,0,0,0.7709954
102,0,0,0.37086365
103,0,0,0.84504515
104,0,0,0.72971135
105,0,0,0.89874625
106,0,0,0.8143717
107,0,0,0.6907153
108,0,0,0.7874657
109,0,0,0.2849449
110,0,0,0.8917001
111,0,0,0.7454553
112,0,0,0.9003299
113,0,0,0.8994838
114,0,0,0.76048857
115,0,0,0.356499
116,0,0,0.6587571
117,0,0,0.61349106
118,0,0,0.88303286
119,0,0,0.6988189
120,0,0,0.34172663
121,0,0,0.89008343
122,0,0,0.5853426
123,0,0,0.6044814
124,0,0,0.67471284
125,0,0,0.765408
126,0,0,0.7722439
127,0,0,0.78736275
128,0,0,0.88683647
129,0,0,0.7392708
130,0,0,0.5866725
131,0,0,0.37773228
132,0,0,0.37223375
133,0,0,0.85763246
134,0,0,0.6737879
135,0,0,0.22723275
136,0,0,0.8178043
137,0,0,0.80911225
138,0,0,0.26919067
139,0,0,0.89133346
140,0,0,0.4162763
141,0,0,0.2736379
142,0,0,0.719848
143,0,0,0.26963943
144,0,0,0.4728086
145,0,0,0.71950257
146,0,0,0.9289315
147,0,0,0.8638911
148,0,0,0.26633266
149,0,0,0.889232
150,0,0,0.80465704
151,0,0,0.25750107
152,0,0,0.3447347
153,0,0,0.8866636
154,0,0,0.2493926
155,0,0,0.22511384
156,0,0,0.62031215
157,0,0,0.41223663
158,0,0,0.9507869
159,0,0,0.27138656
160,0,0,0.46967766
161,0,0,0.89528495
162,0,0,0.8956187
163,0,0,0.605524
164,0,0,0.59333766
165,0,0,0.7997345
166,0,0,0.7403583
167,0,0,0.93637806
168,0,0,0.60083324
169,0,0,0.36026433
170,0,0,0.5842751
171,0,0,0.90127903
172,0,0,0.70364964
173,0,0,0.9001835
174,0,0,0.3473571
175,0,0,0.286293
176,0,0,0.24864745
177,0,0,0.8326223
178,0,0,0.9240974
179,0,0,0.9506761
180,0,0,0.8318247
181,0,0,0.24898764
182,0,0,0.62822634
183,0,0,0.8679953
184,0,0,0.6336707
185,0,0,0.56729877
186,0,0,0.73300195
187,0,0,0.762882
188,0,0,0.775386
189,0,0,0.7573686
190,0,0,0.86471593
191,0,0,0.8639599
192,0,0,0.79479057
193,0,0,0.7087859
194,0,0,0.6598334
195,0,0,0.5721504
196,0,0,0.23694064
197,0,0,0.77173024
198,0,0,0.75089467
199,0,0,0.84746695
200,0,0,0.5398753
201,0,0,0.6533962
202,0,0,0.7021445
203,0,0,0.84733176
204,0,0,0.96141404
205,0,0,0.9270522
206,0,0,0.8481354
207,0,0,0.9209442
208,0,0,0.8899
209,0,0,0.96804667
210,0,0,0.724721
211,0,0,0.7760798
212,0,0,0.9543936
213,0,0,0.86213315
214,0,0,0.95191425
215,0,0,0.8850748
216,0,0,0.8007732
217,0,0,0.75875026
218,0,0,0.7511437
219,0,0,0.45267415
220,0,0,0.7229279
221,0,0,0.7308849
222,0,0,0.88681376
223,0,0,0.975316
224,0,0,0.8465506
225,0,0,0.7811617
226,0,0,0.902942
227,0,0,0.707901
228,0,0,0.42536727
229,0,0,0.9685437
230,0,0,0.9336964
231,0,0,0.7635252
232,0,0,0.91345704
233,0,0,0.81391287
234,0,0,0.88565534
235,0,0,0.95006764
236,0,0,0.67958665
237,0,0,0.9094061
238,0,0,0.79027903
239,0,0,0.8257816
240,0,0,0.8061523
241,0,0,0.9046568
242,0,0,0.6873901
243,0,0,0.9312491
244,0,0,0.7883271
245,0,0,0.9357455
246,0,0,0.34888828
247,0,0,0.9571429
248,0,0,0.80596894
249,0,0,0.88716894
250,0,0,0.82571393
251,0,0,0.9552303
252,0,0,0.8203022
253,0,0,0.81807864
254,0,0,0.23395708
255,0,0,0.70348173
256,0,0,0.6632776
257,0,0,0.8386172
258,0,0,0.34381652
259,0,0,0.93210083
260,0,0,0.78773636
261,0,0,0.82219577
262,0,0,0.7908346
263,0,0,0.9392579
264,0,0,0.3565643
265,0,0,0.91270375
266,0,0,0.35776547
267,0,0,0.93139595
268,0,0,0.46565688
269,0,0,0.9070938
