id,wip,investissement,satisfaction
0,0,0,0.21610035
1,0,0,0.76015884
2,0,0,0.5451976
3,0,0,0.7385026
4,0,0,0.7827075
5,0,0,0.84079707
6,0,0,0.29198804
7,0,0,0.7530001
8,0,0,0.71062344
9,0,0,0.5140305
10,0,0,0.8573587
11,0,0,0.747117
12,0,0,0.22648333
13,0,0,0.71909076
14,0,0,0.73522574
15,0,0,0.6124887
16,0,0,0.7158092
17,0,0,0.600161
18,0,0,0.62825036
19,0,0,0.6737568
20,0,0,0.71877545
21,0,0,0.51580244
22,0,0,0.5033955
23,0,0,0.6932761
24,0,0,0.8145271
25,0,0,0.63661665
26,0,0,0.7780915
27,0,0,0.688994
28,0,0,0.74683917
29,0,0,0.6728042
30,0,0,0.7503269
31,0,0,0.7411643
32,0,0,0.7639092
33,0,0,0.73044795
34,0,0,0.8328038
35,0,0,0.61213833
36,0,0,0.78268456
37,0,0,0.889189
38,0,0,0.43515375
39,0,0,0.40897658
40,0,0,0.75728506
41,0,0,0.7874133
42,0,0,0.7154406
43,0,0,0.7754748
44,0,0,0.7182564
45,0,0,0.80275375
46,0,0,0.9472159
47,0,0,0.7591209
48,0,0,0.509198
49,0,0,0.87350446
50,0,0,0.81812346
51,0,0,0.805597
52,0,0,0.82073927
53,0,0,0.64795804
54,0,0,0.8260407
55,0,0,0.22237188
56,0,0,0.8321816
57,0,0,0.82072234
58,0,0,0.74459773
59,0,0,0.7876261
60,0,0,0.78937876
61,0,0,0.2329399
62,0,0,0.8311416
63,0,0,0.89742744
64,0,0,0.68646544
65,0,0,0.40571615
66,0,0,0.36876053
67,0,0,0.83771664
68,0,0,0.8359734
69,0,0,0.81024325
70,0,0,0.6680897
71,0,0,0.81891173
72,0,0,0.7440523
73,0,0,0.8071565
74,0,0,0.80092055
75,0,0,0.7631625
76,0,0,0.8865857
77,0,0,0.8240784
78,0,0,0.73867935
79,0,0,0.38875452
80,0,0,0.4589623
81,0,0,0.8332025
82,0,0,0.8557548
83,0,0,0.858639
84,0,0,0.79522246
85,0,0,0.86594796
86,0,0,0.26720056
87,0,0,0.68572766
88,0,0,0.8323427
89,0,0,0.7630915
90,0,0,0.74779284
91,0,0,0.721574
92,0,0,0.92642796
93,0,0,0.8086136
94,0,0,0.78741693
95,0,0,0.307585
96,0,0,0.8532414
97,0,0,0.72036386
98,0,0,0.572068
99,0,0,0.7816123
100,0,0,0.6590757
101,0,0,0.77446645
102,0,0,0.4894262
103,0,0,0.7090429
104,0,0,0.76141846
105,0,0,0.77733034
106,0,0,0.8015128
107,0,0,0.7647934
108,0,0,0.80165607
109,0,0,0.3143618
110,0,0,0.87221044
111,0,0,0.78910846
112,0,0,0.8644694
113,0,0,0.78846943
114,0,0,0.6502439
115,0,0,0.44363442
116,0,0,0.7243402
117,0,0,0.6180152
118,0,0,0.73012406
119,0,0,0.74159384
120,0,0,0.40345043
121,0,0,0.88129735
122,0,0,0.75100034
123,0,0,0.62809885
124,0,0,0.76633686
125,0,0,0.77113783
126,0,0,0.83531576
127,0,0,0.827054
128,0,0,0.80913
129,0,0,0.76468754
130,0,0,0.78759044
131,0,0,0.24964598
132,0,0,0.29115838
133,0,0,0.80954117
134,0,0,0.7096824
135,0,0,0.30097815
136,0,0,0.78362954
137,0,0,0.7050332
138,0,0,0.42658547
139,0,0,0.887258
140,0,0,0.36378655
141,0,0,0.29671523
142,0,0,0.7948032
143,0,0,0.32864365
144,0,0,0.4325262
145,0,0,0.8230242
146,0,0,0.7917993
147,0,0,0.8525287
148,0,0,0.24346642
149,0,0,0.75200367
150,0,0,0.6652721
151,0,0,0.34869274
152,0,0,0.4318106
153,0,0,0.87489057
154,0,0,0.46271113
155,0,0,0.353268
156,0,0,0.6505592
157,0,0,0.35799342
158,0,0,0.9198521
159,0,0,0.25140083
160,0,0,0.45103544
161,0,0,0.78114325
162,0,0,0.86568
163,0,0,0.7545737
164,0,0,0.68422693
165,0,0,0.72590595
166,0,0,0.8274576
167,0,0,0.8820188
168,0,0,0.77399063
169,0,0,0.36592433
170,0,0,0.7348787
171,0,0,0.9323255
172,0,0,0.7423704
173,0,0,0.8867308
174,0,0,0.31428272
175,0,0,0.2922893
176,0,0,0.28161255
177,0,0,0.8622203
178,0,0,0.8292163
179,0,0,0.86056
180,0,0,0.7645934
181,0,0,0.22566953
182,0,0,0.762941
183,0,0,0.8609017
184,0,0,0.7608679
185,0,0,0.6594405
186,0,0,0.74991924
187,0,0,0.80984366
188,0,0,0.69397026
189,0,0,0.7590183
190,0,0,0.70421267
191,0,0,0.7680973
192,0,0,0.8172368
193,0,0,0.7903893
194,0,0,0.5756151
195,0,0,0.74840254
196,0,0,0.21877508
197,0,0,0.80625576
198,0,0,0.7302358
199,0,0,0.72156924
200,0,0,0.4853876
201,0,0,0.4411094
202,0,0,0.7391818
203,0,0,0.83297926
204,0,0,0.9488482
205,0,0,0.84984154
206,0,0,0.8380744
207,0,0,0.74302787
208,0,0,0.87564874
209,0,0,0.9572688
210,0,0,0.8232181
211,0,0,0.8291252
212,0,0,0.92517155
213,0,0,0.7249354
214,0,0,0.83913004
215,0,0,0.8731232
216,0,0,0.80393296
217,0,0,0.842139
218,0,0,0.9011904
219,0,0,0.5658836
220,0,0,0.8681081
221,0,0,0.8695458
222,0,0,0.8131366
223,0,0,0.9384188
224,0,0,0.8660514
225,0,0,0.8242469
226,0,0,0.87712663
227,0,0,0.85754776
228,0,0,0.6687577
229,0,0,0.881795
230,0,0,0.79376954
231,0,0,0.8499063
232,0,0,0.8064405
233,0,0,0.81279737
234,0,0,0.84865326
235,0,0,0.93163764
236,0,0,0.6668066
237,0,0,0.92977774
238,0,0,0.89711016
239,0,0,0.9051327
240,0,0,0.830651
241,0,0,0.82188964
242,0,0,0.72767144
243,0,0,0.8527125
244,0,0,0.8164647
245,0,0,0.8688788
246,0,0,0.3004845
247,0,0,0.90461016
248,0,0,0.9316659
249,0,0,0.81717074
250,0,0,0.8568998
251,0,0,0.95791763
252,0,0,0.82473785
253,0,0,0.8986381
254,0,0,0.21881348
255,0,0,0.73621845
256,0,0,0.7278407
257,0,0,0.8192571
258,0,0,0.24428575
259,0,0,0.91624814
260,0,0,0.80217874
261,0,0,0.8547037
262,0,0,0.8733659
263,0,0,0.9052363
264,0,0,0.5727753
265,0,0,0.838999
266,0,0,0.42125776
267,0,0,0.9354986
268,0,0,0.6723449
269,0,0,0.94099754
270,0,0,0.9033362
271,0,0,0.65675235
272,0,0,0.6601816
273,0,0,0.9279388
274,0,0,0.6696191
275,0,0,0.92101157
276,0,0,0.93045074
277,0,0,0.9181367
278,0,0,0.8973875
279,0,0,0.8467673
280,0,0,0.9075801
281,0,0,0.9236904
282,0,0,0.86938417
283,0,0,0.9133505
284,0,0,0.32855174
285,0,0,0.73701173
286,0,0,0.91586983
287,0,0,0.87851095
288,0,0,0.8677269
289,0,0,0.8765695
290,0,0,0.9125993
291,0,0,0.7117996
292,0,0,0.8239312
293,0,0,0.8585256
294,0,0,0.8946362
295,0,0,0.8907615
296,0,0,0.8724699
297,0,0,0.529579
298,0,0,0.42236325
299,0,0,0.92900753
300,0,0,0.73327434
301,0,0,0.85987145
302,0,0,0.8627708
303,0,0,0.8756185
304,0,0,0.8895357
305,0,0,0.82511866
306,0,0,0.87077785
307,0,0,0.87218815
308,0,0,0.8971416
309,0,0,0.85310245
310,0,0,0.89301926
311,0,0,0.7108309
312,0,0,0.89431906
313,0,0,0.8641204
314,0,0,0.37090513
315,0,0,0.66213787
316,0,0,0.83311045
317,0,0,0.88573194
318,0,0,0.7533033
319,0,0,0.74375516
320,0,0,0.71807885
321,0,0,0.86725676
322,0,0,0.73502207
323,0,0,0.8054599
324,0,0,0.9128508
325,0,0,0.2795655
326,0,0,0.8245508
